Unnamed: 0,Trait,Condition,IoU
0,Lung_Cancer,Age,0.3487964989059081
2,Pancreatic_Cancer,Endometriosis,0.2907248636009353
3,Endometriosis,Pancreatic_Cancer,0.2907248636009353
4,Breast_Cancer,Endometriosis,0.2877138413685847
5,Endometriosis,Breast_Cancer,0.2877138413685847
6,Inflammatory_Disorders,Lung_Cancer,0.2868525896414343
7,Lung_Cancer,Inflammatory_Disorders,0.2868525896414343
8,Breast_Cancer,Inflammatory_Disorders,0.2868525896414343
9,Inflammatory_Disorders,Breast_Cancer,0.2868525896414343
10,Lung_Cancer,Endometriosis,0.2857142857142857
11,Endometriosis,Lung_Cancer,0.2857142857142857
12,Prostate_Cancer,Inflammatory_Disorders,0.2842942345924453
13,Inflammatory_Disorders,Prostate_Cancer,0.2842942345924453
14,Hepatitis,Breast_Cancer,0.2840816326530612
15,Breast_Cancer,Hepatitis,0.2840816326530612
16,Breast_Cancer,Age,0.2837435758723289
17,Lung_Cancer,Hepatitis,0.2814968814968815
18,Hepatitis,Lung_Cancer,0.2814968814968815
19,Cardiovascular_Disease,Atherosclerosis,0.2760180995475113
20,Atherosclerosis,Cardiovascular_Disease,0.2760180995475113
21,Hypertension,Cardiovascular_Disease,0.2717023675310034
22,Cardiovascular_Disease,Hypertension,0.2717023675310034
23,Inflammatory_Disorders,Pancreatic_Cancer,0.2708196721311475
24,Pancreatic_Cancer,Inflammatory_Disorders,0.2708196721311475
25,Susceptibility_to_Infections,Hepatitis,0.2689450222882615
26,Hepatitis,Susceptibility_to_Infections,0.2689450222882615
27,Inflammatory_Disorders,Hepatitis,0.2666666666666666
28,Hepatitis,Inflammatory_Disorders,0.2666666666666666
29,Hypertension,Age,0.265724037055095
30,Atherosclerosis,Inflammatory_Disorders,0.2650130548302872
31,Inflammatory_Disorders,Atherosclerosis,0.2650130548302872
32,Bladder_Cancer,Endometriosis,0.2631578947368421
33,Endometriosis,Bladder_Cancer,0.2631578947368421
34,COVID-19,Susceptibility_to_Infections,0.2577319587628865
35,Susceptibility_to_Infections,COVID-19,0.2577319587628865
36,Hypertension,Inflammatory_Disorders,0.2576249188838416
37,Inflammatory_Disorders,Hypertension,0.2576249188838416
38,Prostate_Cancer,Hepatitis,0.2553870710295291
39,Hepatitis,Prostate_Cancer,0.2553870710295291
40,Inflammatory_Disorders,Obesity,0.251937984496124
41,Obesity,Inflammatory_Disorders,0.251937984496124
42,Poor_Metabolizer_of_Drugs,Multiple_Chemical_Sensitivity,0.25
43,Multiple_Chemical_Sensitivity,Poor_Metabolizer_of_Drugs,0.25
44,Breast_Cancer,Hypertension,0.248076923076923
45,Hypertension,Breast_Cancer,0.248076923076923
46,Susceptibility_to_Infections,Inflammatory_Disorders,0.2448979591836734
47,Inflammatory_Disorders,Susceptibility_to_Infections,0.2448979591836734
48,Endometriosis,Hepatitis,0.2432432432432432
49,Hepatitis,Endometriosis,0.2432432432432432
50,Lung_Cancer,Hypertension,0.2421052631578947
51,Hypertension,Lung_Cancer,0.2421052631578947
52,Atherosclerosis,Obstructive_sleep_apnea,0.2409638554216867
53,Obstructive_sleep_apnea,Atherosclerosis,0.2409638554216867
54,Chronic_obstructive_pulmonary_disease_(COPD),COVID-19,0.240506329113924
55,COVID-19,Chronic_obstructive_pulmonary_disease_(COPD),0.240506329113924
56,Breast_Cancer,Atherosclerosis,0.2394936708860759
57,Atherosclerosis,Breast_Cancer,0.2394936708860759
58,Susceptibility_to_Infections,Multiple_sclerosis,0.2376811594202898
59,Multiple_sclerosis,Susceptibility_to_Infections,0.2376811594202898
61,Hypertension,Atherosclerosis,0.2357395254921756
62,Atherosclerosis,Hypertension,0.2357395254921756
63,Prostate_Cancer,Age,0.2356157250715959
64,Hypertension,Gender,0.2345415778251599
65,Lung_Cancer,Atherosclerosis,0.2344931921331316
66,Atherosclerosis,Lung_Cancer,0.2344931921331316
67,Inflammatory_Disorders,Chronic_obstructive_pulmonary_disease_(COPD),0.234256926952141
68,Chronic_obstructive_pulmonary_disease_(COPD),Inflammatory_Disorders,0.234256926952141
69,Atherosclerosis,Age,0.2338709677419354
70,Hepatitis,Pancreatic_Cancer,0.2332418659349275
71,Pancreatic_Cancer,Hepatitis,0.2332418659349275
72,Atherosclerosis,Chronic_obstructive_pulmonary_disease_(COPD),0.2311557788944723
73,Chronic_obstructive_pulmonary_disease_(COPD),Atherosclerosis,0.2311557788944723
74,Underweight,Obesity,0.2307692307692307
75,Obesity,Underweight,0.2307692307692307
77,Ankylosing_Spondylitis,Psoriatic_Arthritis,0.23
78,Psoriatic_Arthritis,Ankylosing_Spondylitis,0.23
80,Inflammatory_Disorders,Cardiovascular_Disease,0.2287581699346405
81,Cardiovascular_Disease,Inflammatory_Disorders,0.2287581699346405
82,Hypertension,Prostate_Cancer,0.2285849503076195
83,Prostate_Cancer,Hypertension,0.2285849503076195
84,Atherosclerosis,Gender,0.2279957582184517
85,Obesity,Hypertension,0.2251061821613968
86,Hypertension,Obesity,0.2251061821613968
87,Inflammatory_Disorders,Endometriosis,0.2248520710059171
88,Endometriosis,Inflammatory_Disorders,0.2248520710059171
89,Cardiovascular_Disease,Obesity,0.2247557003257329
90,Obesity,Cardiovascular_Disease,0.2247557003257329
91,Atherosclerosis,Pancreatic_Cancer,0.2246123061530765
92,Pancreatic_Cancer,Atherosclerosis,0.2246123061530765
93,Inflammatory_Disorders,Multiple_sclerosis,0.2242577384712571
94,Multiple_sclerosis,Inflammatory_Disorders,0.2242577384712571
95,Cardiovascular_Disease,Chronic_obstructive_pulmonary_disease_(COPD),0.2219451371571072
96,Chronic_obstructive_pulmonary_disease_(COPD),Cardiovascular_Disease,0.2219451371571072
97,Chronic_obstructive_pulmonary_disease_(COPD),Hypertension,0.2219451371571072
98,Hypertension,Chronic_obstructive_pulmonary_disease_(COPD),0.2219451371571072
99,Endometriosis,Atherosclerosis,0.2212389380530973
100,Atherosclerosis,Endometriosis,0.2212389380530973
101,COVID-19,Multiple_sclerosis,0.220865704772475
102,COVID-19,Inflammatory_Disorders,0.220865704772475
103,Multiple_sclerosis,COVID-19,0.220865704772475
104,Inflammatory_Disorders,COVID-19,0.220865704772475
105,Atherosclerosis,Prostate_Cancer,0.2203389830508474
106,Prostate_Cancer,Atherosclerosis,0.2203389830508474
107,Obesity,Gender,0.220231822971549
108,Inflammatory_Disorders,Bladder_Cancer,0.2196349905601007
109,Bladder_Cancer,Inflammatory_Disorders,0.2196349905601007
110,Hypertension,Endometriosis,0.219440353460972
111,Endometriosis,Hypertension,0.219440353460972
112,Obstructive_sleep_apnea,Hypertension,0.2189349112426035
113,Cardiovascular_Disease,Obstructive_sleep_apnea,0.2189349112426035
114,Hypertension,Obstructive_sleep_apnea,0.2189349112426035
115,Obstructive_sleep_apnea,Cardiovascular_Disease,0.2189349112426035
116,Hepatitis,Glucocorticoid_Sensitivity,0.2179226069246435
